step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
14	3.683	Running	0	0	1	0	0	0	649	641	-5669.800	-10074.601	1440.300	180.700	-280.029	1729.980	29.999	-90.700	0.100	10.010	18.000	1.000	0.600	0	0.900	0.000	10.010	0.000	-4270.020	-2259.961	5642.664	-633.583	1376.476	103	103	96	96	59	499.965	446.731	-44.316	18.000	-1.000	0	0	0
15	3.956	Running	0	0	1	0	0	0	649	641	-5669.800	-10074.601	1440.300	180.700	-280.029	1729.980	29.999	-90.700	0.000	0.000	18.000	1.000	0.600	0	0.900	0.000	0.000	0.000	-4270.020	-2259.961	5642.664	-633.583	1376.476	103	103	96	96	59	499.965	450.058	-44.316	18.000	-1.000	0	0	0
16	4.222	Running	0	0	1	0	0	0	649	641	-5669.800	-10074.601	1440.300	180.700	-280.029	1729.980	29.999	-90.700	0.000	0.000	18.000	1.000	0.600	0	0.900	0.000	0.000	0.000	-4270.020	-2259.961	5642.664	-633.583	1376.476	103	103	96	96	59	499.965	452.994	-44.316	18.000	-1.000	0	0	0
17	4.486	Running	0	0	1	0	0	0	649	641	-5669.800	-10074.601	1440.300	180.700	-280.029	1729.980	29.999	-90.700	0.000	0.000	18.000	1.000	0.600	0	0.900	0.000	0.000	0.000	-4270.020	-2259.961	5642.664	-633.583	1376.476	103	103	96	96	59	499.965	455.603	-44.316	18.000	-1.000	0	0	0
18	4.764	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	181.600	-280.029	1720.020	29.999	-91.600	0.100	9.961	18.000	1.000	0.800	0	1.000	0.100	9.961	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	457.570	-46.987	18.000	-1.000	0	0	0
19	5.025	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	181.600	-280.029	1720.020	29.999	-91.600	0.000	0.000	18.000	1.000	0.800	0	1.000	0.000	0.000	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	459.340	-46.987	18.000	-1.000	0	0	0
20	5.291	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	181.600	-280.029	1720.020	29.999	-91.600	0.000	0.000	18.000	1.000	0.800	0	1.000	0.000	0.000	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	460.942	-46.987	18.000	-1.000	0	0	0
21	5.721	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	182.500	-280.029	1720.020	29.999	-92.500	0.000	0.000	18.000	1.000	0.900	0	1.100	0.100	0.000	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	462.398	-46.087	18.000	-1.000	0	0	0
22	5.981	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	182.500	-280.029	1720.020	29.999	-92.500	0.000	0.000	18.000	1.000	0.900	0	1.100	0.000	0.000	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	463.727	-46.087	18.000	-1.000	0	0	0
23	6.241	Running	0	0	1	0	0	0	649	640	-5669.800	-10074.700	1440.300	182.500	-280.029	1720.020	29.999	-92.500	0.000	0.000	18.000	1.000	0.900	0	1.100	0.000	0.000	0.000	-4270.020	-2259.961	5635.625	-633.583	1376.476	103	103	96	96	58	492.973	464.946	-46.087	18.000	-1.000	0	0	0
