iso_time_utc	mono_s	phase	rover_x_m	rover_y_m	rover_z_m	dist_to_real_ltv_m	ping_strength	goal_dist_cm
2026-04-07T06:10:04Z	1778465.735	drive	-5836.200	-10424.101	1441.600	405.196	-52.947	3663.081
2026-04-07T06:10:06Z	1778467.492	drive	-5836.200	-10424.101	1441.600	405.196	-52.947	3663.081
2026-04-07T06:10:06Z	1778467.954	drive	-5836.200	-10424.101	1441.600	405.196	-52.945	3663.081
2026-04-07T06:10:07Z	1778469.121	drive	-5836.200	-10424.200	1441.600	405.111	-52.937	3653.156
2026-04-07T06:10:08Z	1778470.182	drive	-5836.200	-10424.500	1441.700	404.850	-52.926	3623.284
2026-04-07T06:10:09Z	1778471.342	drive	-5836.200	-10424.800	1441.700	404.595	-52.910	3593.414
2026-04-07T06:10:10Z	1778472.414	drive	-5836.200	-10425.300	1441.800	404.164	-52.892	3543.603
2026-04-07T06:10:12Z	1778473.511	drive	-5836.300	-10426.500	1441.900	403.086	-52.867	3423.168
2026-04-07T06:10:14Z	1778475.751	drive	-5836.300	-10427.101	1441.800	402.580	-52.814	3363.345
2026-04-07T06:10:15Z	1778476.880	drive	-5836.400	-10427.900	1441.700	401.853	-52.783	3282.796
2026-04-07T06:10:16Z	1778478.054	drive	-5836.400	-10428.800	1441.600	401.095	-52.749	3193.216
2026-04-07T06:10:17Z	1778479.102	drive	-5836.400	-10429.700	1441.600	400.331	-52.714	3103.560
2026-04-07T06:10:18Z	1778480.165	drive	-5836.400	-10431.601	1441.700	398.715	-52.678	2914.407
2026-04-07T06:10:19Z	1778481.293	drive	-5836.400	-10432.601	1441.700	397.868	-52.644	2814.921
2026-04-07T06:10:20Z	1778482.405	drive	-5836.400	-10433.601	1441.600	397.028	-52.609	2715.472
2026-04-07T06:10:22Z	1778483.477	drive	-5836.400	-10434.500	1441.600	396.267	-52.574	2626.063
2026-04-07T06:10:23Z	1778484.543	drive	-5836.400	-10435.500	1441.600	395.423	-52.540	2526.699
2026-04-07T06:10:24Z	1778485.712	drive	-5836.400	-10436.601	1441.600	394.494	-52.503	2417.400
2026-04-07T06:10:25Z	1778486.778	drive	-5836.400	-10437.500	1441.600	393.736	-52.469	2328.134
2026-04-07T06:10:26Z	1778487.938	drive	-5836.400	-10438.601	1441.600	392.809	-52.431	2218.975
2026-04-07T06:10:27Z	1778489.121	drive	-5836.400	-10439.500	1441.600	392.052	-52.393	2129.837
2026-04-07T06:10:28Z	1778490.171	drive	-5836.400	-10441.500	1441.500	390.377	-52.358	1931.892
2026-04-07T06:10:29Z	1778491.341	drive	-5836.300	-10442.601	1441.500	389.507	-52.319	1824.766
2026-04-07T06:10:30Z	1778492.409	drive	-5836.300	-10443.601	1441.500	388.669	-52.285	1726.205
2026-04-07T06:10:32Z	1778493.508	drive	-5836.300	-10444.601	1441.500	387.831	-52.246	1627.819
2026-04-07T06:10:33Z	1778494.585	drive	-5836.300	-10445.601	1441.500	386.994	-52.211	1529.643
2026-04-07T06:10:34Z	1778495.822	drive	-5836.300	-10446.500	1441.500	386.242	-52.174	1441.556
2026-04-07T06:10:35Z	1778496.836	drive	-5836.200	-10447.601	1441.500	385.378	-52.140	1336.389
2026-04-07T06:10:36Z	1778498.006	drive	-5836.200	-10448.500	1441.600	384.622	-52.102	1249.075
2026-04-07T06:10:37Z	1778499.079	drive	-5836.200	-10449.500	1441.600	383.788	-52.067	1152.470
2026-04-07T06:10:38Z	1778500.242	drive	-5836.100	-10451.400	1441.600	382.261	-52.030	974.024
2026-04-07T06:10:39Z	1778501.323	drive	-5836.100	-10452.400	1441.600	381.430	-51.995	4192.269
2026-04-07T06:10:41Z	1778502.474	drive	-5836.100	-10453.400	1441.700	380.594	-51.958	4291.984
2026-04-07T06:10:42Z	1778503.509	drive	-5836.000	-10454.400	1441.700	379.820	-51.927	4392.453
2026-04-07T06:10:43Z	1778504.685	drive	-5835.800	-10455.200	1441.700	379.268	-51.900	4473.729
2026-04-07T06:10:44Z	1778505.847	drive	-5835.500	-10456.101	1441.600	378.697	-51.876	4565.899
2026-04-07T06:10:45Z	1778507.032	drive	-5835.000	-10456.800	1441.500	378.404	-51.859	4639.948
2026-04-07T06:10:46Z	1778508.031	drive	-5834.400	-10457.400	1441.500	378.246	-51.848	4705.622
2026-04-07T06:10:47Z	1778509.087	drive	-5833.100	-10458.300	1441.200	378.256	-51.837	4810.104
2026-04-07T06:10:48Z	1778510.247	drive	-5833.100	-10458.300	1441.200	378.256	-51.827	4810.104
2026-04-07T06:10:49Z	1778511.406	drive	-5831.900	-10459.101	1441.000	378.292	-51.817	4906.188
2026-04-07T06:10:51Z	1778512.451	drive	-5831.600	-10459.400	1440.900	378.223	-51.812	4940.412
2026-04-07T06:10:52Z	1778513.600	drive	-5831.400	-10459.601	1440.900	378.173	-51.807	4963.335
2026-04-07T06:10:53Z	1778514.633	drive	-5831.400	-10459.700	1440.900	378.092	-51.803	4973.169
2026-04-07T06:10:54Z	1778515.662	drive	-5831.300	-10459.900	1440.900	377.985	-51.799	4994.521
2026-04-07T06:10:55Z	1778516.820	drive	-5831.100	-10460.000	1440.900	378.018	-51.795	5007.593
2026-04-07T06:10:56Z	1778517.892	drive	-5830.400	-10460.300	1440.700	378.185	-51.793	5049.042
2026-04-07T06:10:57Z	1778518.911	drive	-5830.400	-10460.300	1440.700	378.185	-51.790	5049.042
2026-04-07T06:10:58Z	1778520.037	drive	-5829.600	-10460.601	1440.600	378.405	-51.785	5093.277
2026-04-07T06:10:59Z	1778521.063	drive	-5829.400	-10460.800	1440.500	378.364	-51.782	5116.671
2026-04-07T06:11:00Z	1778522.133	drive	-5829.200	-10460.900	1440.500	378.397	-51.779	5130.434
2026-04-07T06:11:01Z	1778523.245	drive	-5829.200	-10461.000	1440.500	378.316	-51.781	5140.200
2026-04-07T06:11:02Z	1778524.371	drive	-5829.300	-10460.900	1440.500	378.339	-51.782	5128.473
2026-04-07T06:11:04Z	1778525.488	drive	-5829.300	-10460.900	1440.500	378.339	-51.781	5128.473
2026-04-07T06:11:05Z	1778526.623	drive	-5829.200	-10460.900	1440.500	378.397	-51.781	5130.434
2026-04-07T06:11:06Z	1778527.768	drive	-5829.100	-10460.900	1440.500	378.454	-51.781	5132.414
2026-04-07T06:11:07Z	1778528.823	drive	-5828.400	-10461.000	1440.400	378.783	-51.783	5156.522
2026-04-07T06:11:08Z	1778529.993	drive	-5827.900	-10461.101	1440.300	378.997	-51.783	5177.134
2026-04-07T06:11:09Z	1778531.106	drive	-5827.700	-10461.200	1440.200	379.037	-51.781	5191.277
2026-04-07T06:11:10Z	1778532.266	drive	-5827.500	-10461.300	1440.200	379.073	-51.779	5205.488
2026-04-07T06:11:11Z	1778533.397	drive	-5827.400	-10461.300	1440.100	379.137	-51.781	5207.766
2026-04-07T06:11:12Z	1778534.371	drive	-5827.500	-10461.200	1440.200	379.153	-51.784	5195.786
2026-04-07T06:11:14Z	1778535.489	drive	-5827.800	-10461.000	1440.200	379.142	-51.786	5169.529
2026-04-07T06:11:15Z	1778536.647	drive	-5827.900	-10461.000	1440.200	379.085	-51.787	5167.323
2026-04-07T06:11:16Z	1778537.760	drive	-5827.800	-10461.000	1440.200	379.142	-51.789	5169.529
2026-04-07T06:11:17Z	1778538.827	drive	-5827.500	-10460.900	1440.100	379.403	-51.794	5166.594
2026-04-07T06:11:18Z	1778539.970	drive	-5827.100	-10460.900	1440.100	379.635	-51.802	5175.874
2026-04-07T06:11:19Z	1778541.158	drive	-5826.600	-10460.700	1440.000	380.094	-51.807	5168.479
2026-04-07T06:11:20Z	1778542.373	drive	-5826.300	-10460.700	1439.900	380.274	-51.808	5175.927
2026-04-07T06:11:21Z	1778543.334	drive	-5826.100	-10460.700	1439.800	380.396	-51.808	5180.991
2026-04-07T06:11:23Z	1778544.531	drive	-5826.300	-10460.700	1439.900	380.274	-51.808	5175.927
2026-04-07T06:11:24Z	1778545.608	drive	-5826.500	-10460.601	1439.900	380.239	-51.808	5161.297
2026-04-07T06:11:25Z	1778546.712	drive	-5826.500	-10460.601	1439.900	380.239	-51.811	5161.297
2026-04-07T06:11:26Z	1778547.844	drive	-5826.200	-10460.500	1439.900	380.495	-51.821	5159.084
2026-04-07T06:11:27Z	1778548.935	drive	-5825.800	-10460.200	1439.800	380.976	-51.836	5140.449
2026-04-07T06:11:28Z	1778550.110	drive	-5825.300	-10459.800	1439.700	381.598	-51.858	5115.284
2026-04-07T06:11:29Z	1778551.103	drive	-5824.800	-10459.300	1439.500	382.307	-51.875	5081.252
2026-04-07T06:11:30Z	1778552.185	drive	-5824.300	-10459.000	1439.500	382.841	-51.884	5067.101
2026-04-07T06:11:31Z	1778553.324	drive	-5824.000	-10458.800	1439.400	383.184	-51.889	5056.986
2026-04-07T06:11:32Z	1778554.313	drive	-5823.800	-10458.800	1439.300	383.307	-51.889	5063.064
2026-04-07T06:11:35Z	1778556.580	drive	-5824.000	-10458.800	1439.400	383.184	-51.879	5056.986
2026-04-07T06:11:36Z	1778557.764	drive	-5824.300	-10458.900	1439.400	382.928	-51.880	5057.587
2026-04-07T06:11:37Z	1778558.815	drive	-5824.400	-10458.900	1439.400	382.870	-51.890	5054.642
2026-04-07T06:11:38Z	1778560.036	drive	-5824.300	-10458.800	1439.400	383.009	-51.908	5047.982
2026-04-07T06:11:39Z	1778561.047	drive	-5823.900	-10458.000	1439.400	383.891	-51.932	4983.897
2026-04-07T06:11:40Z	1778562.202	drive	-5823.700	-10457.400	1439.300	384.500	-51.958	4933.184
2026-04-07T06:11:41Z	1778563.321	drive	-5823.600	-10456.700	1439.300	385.126	-51.985	4870.026
2026-04-07T06:11:43Z	1778564.427	drive	-5823.400	-10456.000	1439.200	385.817	-52.001	4810.377
2026-04-07T06:11:44Z	1778565.553	drive	-5823.200	-10455.601	1439.200	386.257	-52.007	4779.390
2026-04-07T06:11:45Z	1778566.735	drive	-5823.000	-10455.400	1439.100	386.542	-52.001	4767.353
2026-04-07T06:11:46Z	1778567.786	drive	-5823.100	-10455.500	1439.100	386.403	-51.989	4773.308
2026-04-07T06:11:47Z	1778568.898	drive	-5823.200	-10455.700	1439.200	386.176	-51.977	4788.769
2026-04-07T06:11:48Z	1778570.025	drive	-5823.500	-10456.200	1439.200	385.596	-51.974	4825.990
2026-04-07T06:11:49Z	1778571.219	drive	-5823.500	-10456.200	1439.200	385.596	-51.985	4825.990
2026-04-07T06:11:50Z	1778572.346	drive	-5823.600	-10455.900	1439.300	385.775	-52.001	4794.385
2026-04-07T06:11:52Z	1778573.465	drive	-5823.600	-10455.400	1439.300	386.182	-52.023	4747.170
2026-04-07T06:11:53Z	1778574.498	drive	-5823.800	-10454.800	1439.300	386.554	-52.042	4683.870
2026-04-07T06:11:54Z	1778575.690	drive	-5823.900	-10454.300	1439.300	386.904	-52.055	4633.396
2026-04-07T06:11:55Z	1778576.729	drive	-5823.900	-10453.900	1439.300	387.229	-52.058	4595.745
2026-04-07T06:11:56Z	1778577.858	drive	-5823.900	-10453.700	1439.300	387.392	-52.048	4576.887
2026-04-07T06:11:57Z	1778578.910	drive	-5823.900	-10453.800	1439.300	387.311	-52.032	4586.269
2026-04-07T06:11:58Z	1778579.911	drive	-5824.000	-10454.200	1439.300	386.927	-52.016	4620.679
2026-04-07T06:11:59Z	1778581.005	drive	-5824.000	-10454.601	1439.300	386.601	-52.008	4658.478
2026-04-07T06:12:00Z	1778582.052	drive	-5824.000	-10455.000	1439.300	386.276	-52.009	4696.222
2026-04-07T06:12:01Z	1778583.203	drive	-5824.000	-10455.101	1439.300	386.194	-52.018	4705.733
2026-04-07T06:12:02Z	1778584.312	drive	-5824.200	-10454.800	1439.400	386.317	-52.029	4670.789
2026-04-07T06:12:03Z	1778585.382	drive	-5824.500	-10454.400	1439.400	386.469	-52.038	4623.326
2026-04-07T06:12:05Z	1778586.506	drive	-5824.700	-10454.101	1439.500	386.592	-52.046	4588.524
2026-04-07T06:12:06Z	1778587.623	drive	-5824.800	-10453.900	1439.500	386.698	-52.045	4566.361
2026-04-07T06:12:07Z	1778588.751	drive	-5824.800	-10453.900	1439.500	386.698	-52.035	4566.361
2026-04-07T06:12:08Z	1778589.901	drive	-5824.800	-10454.000	1439.500	386.617	-52.022	4575.808
2026-04-07T06:12:09Z	1778590.968	drive	-5824.700	-10454.400	1439.500	386.348	-52.011	4616.956
2026-04-07T06:12:10Z	1778592.115	drive	-5824.400	-10455.101	1439.400	385.957	-52.005	4692.883
2026-04-07T06:12:11Z	1778593.162	drive	-5824.300	-10455.200	1439.400	385.933	-52.006	4705.495
2026-04-07T06:12:12Z	1778594.313	drive	-5824.400	-10455.101	1439.400	385.957	-52.012	4692.883
2026-04-07T06:12:14Z	1778595.470	drive	-5824.600	-10454.900	1439.400	386.004	-52.023	4667.560
2026-04-07T06:12:15Z	1778596.496	drive	-5825.000	-10454.601	1439.500	386.012	-52.034	4626.599
2026-04-07T06:12:16Z	1778597.630	drive	-5825.400	-10454.200	1439.600	386.102	-52.049	4576.232
2026-04-07T06:12:17Z	1778598.894	drive	-5826.600	-10453.101	1439.800	386.301	-52.068	4435.749
2026-04-07T06:12:18Z	1778599.906	drive	-5827.200	-10452.500	1439.900	386.445	-52.085	4361.210
2026-04-07T06:12:19Z	1778601.047	drive	-5827.900	-10451.900	1440.100	386.527	-52.108	4284.489
2026-04-07T06:12:20Z	1778602.215	drive	-5828.800	-10451.101	1440.200	386.669	-52.129	4183.947
2026-04-07T06:12:21Z	1778603.322	drive	-5829.600	-10450.400	1440.400	386.783	-52.150	4096.534
2026-04-07T06:12:22Z	1778604.410	drive	-5830.500	-10449.700	1440.500	386.849	-52.171	4007.824
2026-04-07T06:12:24Z	1778605.561	drive	-5831.300	-10449.000	1440.600	386.975	-52.194	3922.442
2026-04-07T06:12:25Z	1778606.660	drive	-5832.200	-10448.200	1440.800	387.125	-52.215	3826.463
2026-04-07T06:12:26Z	1778607.726	drive	-5833.100	-10447.500	1440.900	387.202	-52.238	3741.723
2026-04-07T06:12:27Z	1778608.853	drive	-5833.900	-10446.700	1441.100	387.414	-52.268	3650.185
2026-04-07T06:12:28Z	1778609.952	drive	-5835.600	-10444.900	1441.400	387.967	-52.305	3449.936
2026-04-07T06:12:29Z	1778611.116	drive	-5836.300	-10443.601	1441.500	388.669	-52.353	3313.664
2026-04-07T06:12:30Z	1778612.388	drive	-5836.800	-10442.200	1441.600	389.567	-52.409	3169.891
2026-04-07T06:12:31Z	1778613.336	drive	-5837.000	-10440.700	1441.600	390.720	-52.466	3018.794
2026-04-07T06:12:33Z	1778614.469	drive	-5836.900	-10439.101	1441.600	392.120	-52.520	2860.147
2026-04-07T06:12:34Z	1778615.597	drive	-5836.400	-10437.700	1441.600	393.567	-52.573	2725.493
2026-04-07T06:12:35Z	1778616.680	drive	-5835.800	-10436.300	1441.500	395.074	-52.620	2593.700
2026-04-07T06:12:36Z	1778617.791	drive	-5835.300	-10435.000	1441.500	396.437	-52.674	2472.565
2026-04-07T06:12:37Z	1778618.910	drive	-5834.900	-10433.700	1441.400	397.753	-52.725	2351.552
2026-04-07T06:12:38Z	1778620.060	drive	-5834.500	-10430.900	1441.300	400.336	-52.774	2086.015
2026-04-07T06:12:39Z	1778621.140	drive	-5834.700	-10429.400	1441.400	401.493	-52.815	1935.492
2026-04-07T06:12:40Z	1778622.240	drive	-5835.100	-10428.300	1441.500	402.209	-52.850	1819.127
2026-04-07T06:12:41Z	1778623.293	drive	-5835.500	-10427.200	1441.600	402.926	-52.876	1702.958
2026-04-07T06:12:42Z	1778624.402	drive	-5835.400	-10426.500	1441.700	403.568	-52.894	1637.134
2026-04-07T06:12:44Z	1778625.530	drive	-5835.200	-10426.000	1441.700	404.098	-52.904	1593.639
2026-04-07T06:12:45Z	1778626.644	drive	-5835.300	-10425.700	1441.600	404.305	-52.907	1562.093
2026-04-07T06:12:46Z	1778627.742	drive	-5835.200	-10425.500	1441.700	404.523	-52.909	1545.375
2026-04-07T06:12:47Z	1778628.886	drive	-5835.200	-10425.400	1441.700	404.607	-52.910	1535.773
2026-04-07T06:12:48Z	1778630.012	drive	-5835.300	-10425.400	1441.600	404.560	-52.911	1533.132
2026-04-07T06:12:49Z	1778631.136	drive	-5835.300	-10425.400	1441.600	404.560	-52.912	1533.132
2026-04-07T06:12:50Z	1778632.379	drive	-5835.200	-10425.400	1441.600	404.612	-52.913	1535.773
2026-04-07T06:12:51Z	1778633.387	drive	-5835.200	-10425.300	1441.700	404.693	-52.914	1526.082
2026-04-07T06:12:53Z	1778634.482	drive	-5835.200	-10425.300	1441.600	404.698	-52.912	1526.082
2026-04-07T06:12:54Z	1778635.579	drive	-5835.100	-10425.400	1441.600	404.665	-52.907	1538.476
2026-04-07T06:12:55Z	1778636.636	drive	-5834.400	-10425.800	1441.500	404.699	-52.901	1597.013
2026-04-07T06:12:56Z	1778637.715	drive	-5833.900	-10426.101	1441.400	404.712	-52.892	1641.430
2026-04-07T06:12:57Z	1778638.762	drive	-5833.300	-10426.500	1441.300	404.696	-52.880	1699.431
2026-04-07T06:12:58Z	1778639.852	drive	-5832.600	-10427.000	1441.200	404.649	-52.866	1771.578
2026-04-07T06:12:59Z	1778641.026	drive	-5831.900	-10427.500	1441.000	404.609	-52.849	1844.916
2026-04-07T06:13:06Z	1778647.717	drive	-5827.800	-10430.601	1440.200	404.249	-52.780	2307.091
2026-04-07T06:13:07Z	1778648.749	drive	-5827.600	-10430.700	1440.200	404.274	-52.780	2325.738
2026-04-07T06:13:08Z	1778649.907	drive	-5827.600	-10430.800	1440.200	404.191	-52.778	2334.352
2026-04-07T06:13:09Z	1778651.088	drive	-5827.700	-10430.800	1440.100	404.142	-52.774	2329.351
2026-04-07T06:13:10Z	1778652.087	drive	-5826.800	-10431.101	1439.900	404.392	-52.769	2401.076
2026-04-07T06:13:11Z	1778653.194	drive	-5826.200	-10431.400	1439.800	404.474	-52.755	2458.172
2026-04-07T06:13:12Z	1778654.374	drive	-5825.600	-10432.000	1439.600	404.314	-52.737	2540.959
2026-04-07T06:13:14Z	1778655.488	drive	-5825.200	-10432.500	1439.300	404.134	-52.731	2604.639
2026-04-07T06:13:15Z	1778656.571	drive	-5825.000	-10432.800	1439.300	403.994	-52.730	2640.684
2026-04-07T06:13:16Z	1778657.703	drive	-5825.000	-10432.900	1439.300	403.910	-52.745	2649.146
2026-04-07T06:13:17Z	1778658.910	drive	-5825.100	-10432.601	1439.300	404.105	-52.770	2618.517
2026-04-07T06:13:18Z	1778659.994	drive	-5825.600	-10431.200	1439.700	404.976	-52.793	2473.975
2026-04-07T06:13:19Z	1778661.119	drive	-5825.900	-10430.400	1439.900	405.468	-52.819	2390.854
2026-04-07T06:13:20Z	1778662.302	drive	-5826.200	-10429.700	1440.000	405.884	-52.835	2316.079
2026-04-07T06:13:21Z	1778663.367	drive	-5826.700	-10429.200	1440.100	406.025	-52.836	2246.603
2026-04-07T06:13:23Z	1778664.426	drive	-5826.900	-10429.101	1440.200	405.995	-52.842	2227.182
2026-04-07T06:13:24Z	1778665.543	drive	-5827.000	-10429.000	1440.200	406.025	-52.841	2213.256
2026-04-07T06:13:25Z	1778666.659	drive	-5827.000	-10429.000	1440.200	406.025	-52.841	2213.256
2026-04-07T06:13:26Z	1778667.824	drive	-5827.000	-10429.000	1440.200	406.025	-52.841	2213.256
2026-04-07T06:13:27Z	1778668.886	drive	-5827.000	-10429.000	1440.200	406.025	-52.841	2213.256
2026-04-07T06:13:28Z	1778670.006	drive	-5827.000	-10429.000	1440.200	406.025	-52.841	2213.256
2026-04-07T06:13:29Z	1778671.121	drive	-5827.000	-10429.000	1440.200	406.025	-52.841	2213.256
2026-04-07T06:13:30Z	1778672.318	drive	-5827.000	-10429.000	1440.200	406.025	-52.833	2213.256
2026-04-07T06:13:31Z	1778673.375	drive	-5827.000	-10429.200	1440.200	405.857	-52.818	2229.927
2026-04-07T06:13:33Z	1778674.525	drive	-5827.000	-10429.700	1440.100	405.444	-52.795	2271.800
2026-04-07T06:13:34Z	1778675.661	drive	-5827.000	-10430.300	1440.000	404.947	-52.767	2322.439
2026-04-07T06:13:35Z	1778676.757	drive	-5826.900	-10431.900	1439.800	403.674	-52.734	2464.689
2026-04-07T06:13:36Z	1778677.797	drive	-5826.800	-10433.000	1439.500	402.828	-52.692	2565.156
2026-04-07T06:13:37Z	1778678.889	drive	-5826.800	-10434.300	1439.100	401.767	-52.644	2679.409
2026-04-07T06:13:43Z	1778684.659	drive	-5826.400	-10439.300	1438.700	397.854	-52.512	3146.572
2026-04-07T06:13:44Z	1778685.800	drive	-5826.500	-10439.300	1438.600	397.804	-52.520	3142.481
2026-04-07T06:13:45Z	1778686.929	drive	-5826.600	-10439.000	1438.700	397.991	-52.525	3111.025
2026-04-07T06:13:46Z	1778688.054	drive	-5826.600	-10438.900	1438.700	398.074	-52.521	3101.934
2026-04-07T06:13:47Z	1778689.226	drive	-5826.600	-10439.101	1438.700	397.908	-52.506	3120.210
2026-04-07T06:13:48Z	1778690.340	drive	-5826.600	-10439.601	1438.700	397.493	-52.485	3165.946
2026-04-07T06:13:49Z	1778691.407	drive	-5826.500	-10440.601	1438.800	396.713	-52.469	3261.710
2026-04-07T06:13:51Z	1778692.586	drive	-5826.500	-10440.900	1438.900	396.459	-52.464	3289.306
2026-04-07T06:13:52Z	1778693.682	drive	-5826.600	-10440.700	1438.900	396.569	-52.472	3266.970
2026-04-07T06:13:53Z	1778694.828	drive	-5826.900	-10440.200	1438.900	396.817	-52.489	3209.258
2026-04-07T06:13:54Z	1778695.833	drive	-5827.300	-10439.700	1438.800	397.016	-52.510	3147.720
2026-04-07T06:13:55Z	1778697.048	drive	-5827.800	-10438.800	1438.800	397.487	-52.541	3045.443
2026-04-07T06:13:56Z	1778698.047	drive	-5828.400	-10437.900	1438.900	397.899	-52.571	2939.598
2026-04-07T06:13:57Z	1778699.153	drive	-5829.000	-10436.800	1439.200	398.469	-52.603	2815.173
2026-04-07T06:13:58Z	1778700.270	drive	-5829.500	-10435.800	1439.500	399.013	-52.639	2703.831
2026-04-07T06:13:59Z	1778701.390	drive	-5830.100	-10434.800	1439.900	399.499	-52.670	2588.955
2026-04-07T06:14:01Z	1778702.571	drive	-5831.300	-10432.900	1440.600	400.403	-52.700	2369.183
2026-04-07T06:14:02Z	1778703.735	drive	-5831.900	-10432.000	1440.900	400.820	-52.723	2264.335
2026-04-07T06:14:03Z	1778704.742	drive	-5832.500	-10431.500	1441.000	400.914	-52.736	2197.840
2026-04-07T06:14:04Z	1778705.856	drive	-5833.300	-10431.101	1441.200	400.812	-52.743	2136.049
2026-04-07T06:14:05Z	1778707.047	drive	-5834.100	-10430.800	1441.300	400.634	-52.744	2085.836
2026-04-07T06:14:06Z	1778708.132	drive	-5835.000	-10430.700	1441.400	400.235	-52.743	2055.500
2026-04-07T06:14:07Z	1778709.256	drive	-5835.800	-10430.601	1441.500	399.890	-52.741	2030.447
2026-04-07T06:14:08Z	1778710.356	drive	-5836.700	-10430.500	1441.700	399.489	-52.738	2006.911
2026-04-07T06:14:10Z	1778711.460	drive	-5838.400	-10430.400	1442.000	398.664	-52.735	1982.084
