iso_time_utc	mono_s	phase	rover_x_m	rover_y_m	rover_z_m	dist_to_real_ltv_m	ping_strength	goal_dist_cm
2026-04-08T23:43:46Z	113049.284	drive	-5646.500	-10063.700	1439.500	811.828	1.000	44124.970
2026-04-08T23:43:50Z	113053.335	drive	-5647.500	-10060.200	1439.400	814.383	1.000	44396.762
2026-04-08T23:43:53Z	113056.093	drive	-5647.700	-10053.300	1439.200	820.306	1.000	45011.547
2026-04-08T23:43:56Z	113059.147	drive	-5650.400	-10050.800	1439.100	821.184	1.000	45124.212
2026-04-08T23:43:58Z	113061.733	drive	-5650.400	-10050.800	1439.100	821.184	1.000	45124.212
2026-04-08T23:44:01Z	113064.297	drive	-5655.000	-10051.200	1439.000	818.622	1.000	44897.070
2026-04-08T23:44:04Z	113067.030	drive	-5655.200	-10051.400	1439.000	818.351	1.000	44870.598
2026-04-08T23:44:07Z	113070.570	drive	-5653.100	-10050.601	1439.000	820.060	1.000	45029.981
2026-04-08T23:44:11Z	113073.881	drive	-5652.900	-10053.300	1439.100	817.789	1.000	44792.683
2026-04-08T23:44:14Z	113077.389	drive	-5652.800	-10055.000	1439.100	816.349	1.000	44642.301
2026-04-08T23:44:17Z	113079.761	drive	-5652.800	-10055.000	1439.100	816.349	1.000	44642.301
2026-04-08T23:44:19Z	113082.329	drive	-5652.700	-10056.900	1439.100	814.735	1.000	44473.909
2026-04-08T23:44:22Z	113085.121	drive	-5652.000	-10059.900	1439.300	812.448	1.000	44231.376
2026-04-08T23:44:25Z	113088.034	drive	-5650.700	-10061.700	1439.400	811.508	1.000	44123.796
2026-04-08T23:44:28Z	113091.477	drive	-5650.600	-10062.101	1439.400	811.208	1.000	44091.885
2026-04-08T23:44:31Z	113093.927	drive	-5650.600	-10062.101	1439.400	811.208	1.000	44091.885
2026-04-08T23:44:33Z	113096.332	drive	-5650.600	-10062.200	1439.400	811.121	1.000	44082.883
2026-04-08T23:44:36Z	113099.046	drive	-5650.500	-10062.200	1439.400	811.170	1.000	44087.169
2026-04-08T23:44:39Z	113102.443	drive	-5650.400	-10061.400	1439.400	811.917	1.000	44163.738
2026-04-08T23:44:42Z	113105.477	drive	-5649.900	-10057.800	1439.300	815.304	1.000	44510.717
2026-04-08T23:45:06Z	113128.794	drive	-5649.200	-10050.101	1439.100	822.376	1.000	45238.004
2026-04-08T23:45:08Z	113131.559	drive	-5649.600	-10051.101	1439.100	821.308	1.000	45130.458
2026-04-08T23:45:11Z	113134.640	drive	-5649.600	-10051.101	1439.100	821.308	1.000	45130.458
2026-04-08T23:45:14Z	113137.098	drive	-5651.300	-10053.500	1439.100	818.387	1.000	44841.309
2026-04-08T23:45:16Z	113139.638	drive	-5656.600	-10058.101	1439.100	811.802	1.000	44202.379
2026-04-08T23:45:19Z	113142.247	drive	-5661.200	-10061.000	1439.200	807.049	1.000	43749.251
2026-04-08T23:45:22Z	113145.042	drive	-5661.200	-10061.000	1439.200	807.049	1.000	43749.251
2026-04-08T23:45:24Z	113147.445	drive	-5666.100	-10064.700	1439.400	801.456	1.000	43212.829
2026-04-08T23:45:27Z	113150.024	drive	-5666.200	-10065.000	1439.400	801.145	1.000	43181.350
2026-04-08T23:45:29Z	113152.532	drive	-5666.200	-10065.000	1439.400	801.145	1.000	43181.350
2026-04-08T23:45:32Z	113154.979	drive	-5666.200	-10065.000	1439.400	801.145	1.000	43181.350
2026-04-08T23:45:34Z	113157.339	drive	-5666.200	-10065.000	1439.400	801.145	1.000	43181.350
2026-04-08T23:45:37Z	113160.558	drive	-5666.100	-10065.000	1439.400	801.192	1.000	43185.364
2026-04-08T23:45:40Z	113163.412	drive	-5666.100	-10065.000	1439.400	801.192	1.000	43185.364
2026-04-08T23:45:43Z	113165.858	drive	-5664.200	-10063.900	1439.300	803.066	1.000	43362.486
2026-04-08T23:45:57Z	113180.397	drive	-5654.900	-10056.000	1439.100	814.461	1.000	44463.980
2026-04-08T23:45:59Z	113182.668	drive	-5655.000	-10056.101	1439.100	814.324	1.000	44450.677
2026-04-08T23:46:02Z	113184.931	drive	-5655.500	-10057.700	1439.100	812.682	1.000	44284.387
2026-04-08T23:46:04Z	113187.152	drive	-5655.500	-10057.700	1439.100	812.682	1.000	44284.387
2026-04-08T23:46:06Z	113189.493	drive	-5657.100	-10061.400	1439.200	808.668	1.000	43881.332
2026-04-08T23:46:09Z	113191.987	drive	-5658.600	-10065.101	1439.500	804.697	1.000	43482.438
2026-04-08T23:46:11Z	113194.179	drive	-5658.600	-10065.101	1439.500	804.697	1.000	43482.438
2026-04-08T23:46:13Z	113196.492	drive	-5659.300	-10067.400	1440.200	802.326	1.000	43244.170
2026-04-08T23:46:15Z	113198.650	drive	-5659.500	-10068.500	1440.600	801.256	1.000	43135.884
2026-04-08T23:46:18Z	113200.964	drive	-5659.500	-10068.500	1440.600	801.256	1.000	43135.884
2026-04-08T23:46:20Z	113203.127	drive	-5659.500	-10068.500	1440.600	801.256	1.000	43135.884
2026-04-08T23:46:22Z	113205.402	drive	-5659.500	-10068.500	1440.600	801.256	1.000	43135.884
2026-04-08T23:46:24Z	113207.730	drive	-5659.500	-10068.500	1440.600	801.256	1.000	43135.884
2026-04-08T23:46:27Z	113209.903	drive	-5659.500	-10068.200	1440.500	801.521	1.000	43163.138
2026-04-08T23:46:29Z	113212.318	drive	-5659.500	-10068.200	1440.500	801.521	1.000	43163.138
2026-04-08T23:46:31Z	113214.526	drive	-5659.000	-10066.500	1439.900	803.267	1.000	43338.539
2026-04-08T23:46:38Z	113221.411	drive	-5657.500	-10059.700	1439.100	809.967	1.000	44019.529
2026-04-08T23:46:41Z	113224.010	drive	-5657.400	-10059.200	1439.100	810.454	1.000	44069.201
2026-04-08T23:46:43Z	113226.378	drive	-5658.700	-10060.700	1439.200	808.511	1.000	43878.941
2026-04-08T23:46:46Z	113229.212	drive	-5658.700	-10060.700	1439.200	808.511	1.000	43878.941
2026-04-08T23:46:48Z	113231.561	drive	-5658.000	-10059.200	1439.100	810.165	1.000	44044.465
2026-04-08T23:46:51Z	113233.838	drive	-5657.800	-10058.300	1439.100	811.050	1.000	44134.747
2026-04-08T23:46:53Z	113236.411	drive	-5657.800	-10058.300	1439.100	811.050	1.000	44134.747
2026-04-08T23:46:55Z	113238.696	drive	-5660.100	-10057.800	1439.000	810.390	1.000	44086.347
