elapsed_s,step_idx,iso_time,throttle_cmd,steering_cmd,brakes_cmd,lidar_00_cm,lidar_01_cm,lidar_02_cm,lidar_03_cm,lidar_04_cm,lidar_05_cm,lidar_06_cm,lidar_07_cm,lidar_08_cm,lidar_09_cm,lidar_10_cm,lidar_11_cm,lidar_12_cm,lidar_13_cm,lidar_14_cm,lidar_15_cm,lidar_16_cm,telemetry_throttle,telemetry_steering,telemetry_speed
0.047,0,2026-03-15T16:07:08.047,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.109,1,2026-03-15T16:07:08.105,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.172,2,2026-03-15T16:07:08.160,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.218,3,2026-03-15T16:07:08.212,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.265,4,2026-03-15T16:07:08.264,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.328,5,2026-03-15T16:07:08.315,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.375,6,2026-03-15T16:07:08.368,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.422,7,2026-03-15T16:07:08.420,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.484,8,2026-03-15T16:07:08.472,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.531,9,2026-03-15T16:07:08.525,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.578,10,2026-03-15T16:07:08.578,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.640,11,2026-03-15T16:07:08.631,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.687,12,2026-03-15T16:07:08.683,0.000,0.000,1,0.000,519.660,-1.000,569.680,895.450,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.765,13,2026-03-15T16:07:08.758,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.812,14,2026-03-15T16:07:08.811,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.875,15,2026-03-15T16:07:08.863,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.922,16,2026-03-15T16:07:08.916,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
0.968,17,2026-03-15T16:07:08.968,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.031,18,2026-03-15T16:07:09.019,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.078,19,2026-03-15T16:07:09.073,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.125,20,2026-03-15T16:07:09.125,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.187,21,2026-03-15T16:07:09.177,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.234,22,2026-03-15T16:07:09.230,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.281,23,2026-03-15T16:07:09.281,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.343,24,2026-03-15T16:07:09.333,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.390,25,2026-03-15T16:07:09.385,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.437,26,2026-03-15T16:07:09.438,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.500,27,2026-03-15T16:07:09.490,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.547,28,2026-03-15T16:07:09.543,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.593,29,2026-03-15T16:07:09.595,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.656,30,2026-03-15T16:07:09.647,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.703,31,2026-03-15T16:07:09.699,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.750,32,2026-03-15T16:07:09.751,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.812,33,2026-03-15T16:07:09.803,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.859,34,2026-03-15T16:07:09.855,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.922,35,2026-03-15T16:07:09.909,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
1.968,36,2026-03-15T16:07:09.961,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.015,37,2026-03-15T16:07:10.013,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.078,38,2026-03-15T16:07:10.065,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.125,39,2026-03-15T16:07:10.117,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.172,40,2026-03-15T16:07:10.170,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.234,41,2026-03-15T16:07:10.224,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.281,42,2026-03-15T16:07:10.277,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.343,43,2026-03-15T16:07:10.330,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.390,44,2026-03-15T16:07:10.381,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.437,45,2026-03-15T16:07:10.434,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.500,46,2026-03-15T16:07:10.487,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.547,47,2026-03-15T16:07:10.539,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.593,48,2026-03-15T16:07:10.591,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.656,49,2026-03-15T16:07:10.644,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.703,50,2026-03-15T16:07:10.696,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,430.990,442.580,405.480,405.630,642.160,315.280,306.410,654.160,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.750,51,2026-03-15T16:07:10.748,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.812,52,2026-03-15T16:07:10.801,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.859,53,2026-03-15T16:07:10.860,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.922,54,2026-03-15T16:07:10.911,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
2.968,55,2026-03-15T16:07:10.964,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
3.015,56,2026-03-15T16:07:11.016,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
3.078,57,2026-03-15T16:07:11.069,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
3.125,58,2026-03-15T16:07:11.123,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
3.187,59,2026-03-15T16:07:11.175,0.000,0.000,1,0.000,519.660,-1.000,569.690,895.460,431.000,442.580,405.480,405.630,642.160,315.280,306.410,654.170,790.740,-1.000,961.140,-1.000,0.000,0.000,0.000
