iso_time_utc	mono_s	sample_kind	sample_idx	planned_x_m	planned_y_m	rover_x_m	rover_y_m	rover_z_m	heading_deg	goal_error_m	ping_value	predicted_radius_m	last_known_x_m	last_known_y_m
2026-04-08T04:43:28Z	44620.906	triloc_drive	0	-5839.300	-10460.600	-5814.600	-10458.400	1437.500	139.000	24.798	-50.646	376.132	-5839.300	-10460.600
2026-04-08T04:43:29Z	44622.015	triloc_drive	0	-5839.300	-10460.600	-5815.100	-10458.101	1437.600	144.300	24.329	-50.668	376.672	-5839.300	-10460.600
2026-04-08T04:43:32Z	44624.328	triloc_drive	0	-5839.300	-10460.600	-5815.500	-10457.800	1437.600	145.000	19.169	-50.685	377.091	-5839.300	-10460.600
2026-04-08T04:43:33Z	44625.437	triloc_drive	0	-5839.300	-10460.600	-5815.700	-10457.700	1437.700	144.700	18.983	-50.685	377.096	-5839.300	-10460.600
2026-04-08T04:43:34Z	44626.515	triloc_drive	0	-5839.300	-10460.600	-5815.700	-10457.700	1437.700	144.600	18.983	-50.691	377.225	-5839.300	-10460.600
2026-04-08T04:43:35Z	44627.734	triloc_drive	0	-5839.300	-10460.600	-5815.900	-10457.601	1437.700	145.700	18.798	-50.703	377.521	-5839.300	-10460.600
2026-04-08T04:43:36Z	44628.812	triloc_drive	0	-5839.300	-10460.600	-5816.200	-10457.500	1437.800	149.900	18.515	-50.722	377.987	-5839.300	-10460.600
2026-04-08T04:43:37Z	44630.046	triloc_drive	0	-5839.300	-10460.600	-5816.600	-10457.400	1437.800	155.400	18.135	-50.747	378.610	-5839.300	-10460.600
2026-04-08T04:43:38Z	44631.078	triloc_drive	0	-5839.300	-10460.600	-5817.100	-10457.400	1438.000	162.200	17.641	-50.771	379.200	-5839.300	-10460.600
2026-04-08T04:43:40Z	44632.203	triloc_drive	0	-5839.300	-10460.600	-5817.800	-10457.400	1438.100	170.400	16.950	-50.800	379.914	-5839.300	-10460.600
2026-04-08T04:43:41Z	44633.437	triloc_drive	0	-5839.300	-10460.600	-5819.200	-10457.700	1438.400	-172.500	15.520	-50.828	380.605	-5839.300	-10460.600
2026-04-08T04:43:42Z	44634.609	triloc_drive	0	-5839.300	-10460.600	-5819.800	-10458.000	1438.500	-164.700	14.881	-50.852	381.186	-5839.300	-10460.600
2026-04-08T04:43:43Z	44635.671	triloc_drive	0	-5839.300	-10460.600	-5820.400	-10458.200	1438.600	-162.200	14.259	-50.872	381.692	-5839.300	-10460.600
2026-04-08T04:43:44Z	44636.750	triloc_drive	0	-5839.300	-10460.600	-5820.900	-10458.400	1438.700	-161.600	13.736	-50.898	382.341	-5839.300	-10460.600
2026-04-08T04:43:45Z	44637.921	triloc_drive	0	-5839.300	-10460.600	-5821.600	-10458.601	1438.900	-159.900	13.017	-50.929	383.116	-5839.300	-10460.600
