iso_time_utc	mono_s	mode	event	step_idx	goal_x_cm	goal_y_cm	rover_x_cm	rover_y_cm	goal_dist_cm	status
2026-04-08T18:19:23Z	93572.078	dumblocate_drive_last_known	loop_tick	0	-17230.000	-36869.961	300.000	1179.980	41893.901	
2026-04-08T18:19:23Z	93572.109	dumblocate_drive_last_known	goal_reached	0	-17230.000	-36869.961	300.000	1179.980	41893.901	
2026-04-08T18:19:27Z	93576.468	dumblocate_round1_hold_ping_1	hold_tick		-17230.000	-36869.961	300.000	1179.980	41893.901	Collecting dumblocate_round1 ping 1...
2026-04-08T18:19:27Z	93576.609	dumblocate_round1_hold_ping_1	hold_draw		-17230.000	-36869.961	300.000	1179.980	41893.901	Collecting dumblocate_round1 ping 1...
2026-04-08T18:19:30Z	93579.703	dumblocate_round1_drive_ping_2	loop_tick	0	48.937	635.033	300.000	1179.980	600.000	
2026-04-08T18:19:30Z	93579.734	dumblocate_round1_drive_ping_2	draw	0	48.937	635.033	300.000	1179.980	600.000	Running | Goals: 0
2026-04-08T18:19:32Z	93581.484	dumblocate_round1_drive_ping_2	loop_tick	1	48.937	635.033	300.000	1179.980	600.000	
2026-04-08T18:19:32Z	93581.546	dumblocate_round1_drive_ping_2	draw	1	48.937	635.033	300.000	1179.980	600.000	Running | Goals: 0
2026-04-08T18:19:34Z	93583.296	dumblocate_round1_drive_ping_2	loop_tick	2	48.937	635.033	300.000	1170.020	590.968	
2026-04-08T18:19:34Z	93583.312	dumblocate_round1_drive_ping_2	draw	2	48.937	635.033	300.000	1170.020	590.968	Running | Goals: 0
2026-04-08T18:19:35Z	93585.031	dumblocate_round1_drive_ping_2	loop_tick	3	48.937	635.033	289.990	1120.020	541.589	
2026-04-08T18:19:35Z	93585.046	dumblocate_round1_drive_ping_2	draw	3	48.937	635.033	289.990	1120.020	541.589	Running | Goals: 0
2026-04-08T18:19:37Z	93586.796	dumblocate_round1_drive_ping_2	loop_tick	4	48.937	635.033	279.980	1079.980	501.357	
2026-04-08T18:19:37Z	93586.796	dumblocate_round1_drive_ping_2	draw	4	48.937	635.033	279.980	1079.980	501.357	Running | Goals: 0
2026-04-08T18:19:39Z	93588.515	dumblocate_round1_drive_ping_2	loop_tick	5	48.937	635.033	229.980	960.058	372.046	
2026-04-08T18:19:39Z	93588.531	dumblocate_round1_drive_ping_2	goal_reached	5	48.937	635.033	229.980	960.058	372.046	
2026-04-08T18:19:41Z	93590.078	dumblocate_round1_hold_ping_2	hold_tick		48.937	635.033	150.000	800.000	193.462	Collecting dumblocate_round1 ping 2...
2026-04-08T18:19:41Z	93590.093	dumblocate_round1_hold_ping_2	hold_draw		48.937	635.033	150.000	800.000	193.462	Collecting dumblocate_round1 ping 2...
2026-04-08T18:19:44Z	93593.156	dumblocate_round1_hold_after_ping_2	hold_tick		48.937	635.033	100.000	620.020	53.224	Preparing next move...
2026-04-08T18:19:44Z	93593.156	dumblocate_round1_hold_after_ping_2	hold_draw		48.937	635.033	100.000	620.020	53.224	Preparing next move...
