elapsed_s,step_idx,iso_time,throttle_cmd,steering_cmd,brakes_cmd,lidar_00_cm,lidar_01_cm,lidar_02_cm,lidar_03_cm,lidar_04_cm,lidar_05_cm,lidar_06_cm,lidar_07_cm,lidar_08_cm,lidar_09_cm,lidar_10_cm,lidar_11_cm,lidar_12_cm,lidar_13_cm,lidar_14_cm,lidar_15_cm,lidar_16_cm,telemetry_throttle,telemetry_steering,telemetry_speed
0.013,0,2026-03-22T12:38:50.516,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.069,1,2026-03-22T12:38:50.573,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.122,2,2026-03-22T12:38:50.626,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.175,3,2026-03-22T12:38:50.678,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.228,4,2026-03-22T12:38:50.731,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.281,5,2026-03-22T12:38:50.784,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.334,6,2026-03-22T12:38:50.837,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.416,7,2026-03-22T12:38:50.919,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.498,8,2026-03-22T12:38:51.002,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.552,9,2026-03-22T12:38:51.055,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.604,10,2026-03-22T12:38:51.108,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.657,11,2026-03-22T12:38:51.160,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.712,12,2026-03-22T12:38:51.215,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.765,13,2026-03-22T12:38:51.268,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.817,14,2026-03-22T12:38:51.320,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.870,15,2026-03-22T12:38:51.373,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.922,16,2026-03-22T12:38:51.426,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
0.975,17,2026-03-22T12:38:51.478,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
1.027,18,2026-03-22T12:38:51.531,0.000,0.000,1,0.000,557.760,-1.000,558.360,801.000,441.430,318.820,465.750,454.760,817.580,319.090,322.980,-1.000,-1.000,-1.000,-1.000,784.800,0.000,0.000,0.000
