iso_time_utc	mono_s	sample_kind	sample_idx	planned_x_m	planned_y_m	rover_x_m	rover_y_m	rover_z_m	heading_deg	goal_error_m	ping_value	predicted_radius_m	last_known_x_m	last_known_y_m
2026-04-08T04:15:56Z	42968.250	drive	1	-6101.694	-10244.567	-5664.000	-10080.101	1440.400	-80.400	467.574	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:15:57Z	42970.125	drive	1	-6101.694	-10244.567	-5664.000	-10080.101	1440.400	-80.400	467.574	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:15:59Z	42971.890	drive	1	-6101.694	-10244.567	-5664.000	-10080.101	1440.400	-80.400	467.574	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:01Z	42973.671	drive	1	-6101.694	-10244.567	-5664.000	-10080.300	1440.400	-82.600	467.504	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:03Z	42975.468	drive	1	-6101.694	-10244.567	-5664.200	-10080.900	1440.500	-89.900	467.106	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:05Z	42977.281	drive	1	-6101.694	-10244.567	-5664.500	-10081.700	1440.500	-100.300	466.545	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:06Z	42979.031	drive	1	-6101.694	-10244.567	-5664.800	-10082.300	1440.600	-107.700	466.055	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:08Z	42980.953	drive	1	-6101.694	-10244.567	-5665.800	-10083.500	1440.700	-126.600	464.700	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:10Z	42982.828	drive	1	-6101.694	-10244.567	-5667.300	-10084.500	1440.800	-146.700	462.947	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:12Z	42984.609	drive	1	-6101.694	-10244.567	-5668.000	-10084.101	1440.800	-121.700	462.429	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:14Z	42986.406	drive	1	-6101.694	-10244.567	-5668.300	-10084.200	1440.800	-125.100	462.112	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:15Z	42988.140	drive	1	-6101.694	-10244.567	-5668.300	-10084.200	1440.800	-126.100	462.112	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:17Z	42989.921	drive	1	-6101.694	-10244.567	-5668.300	-10084.200	1440.700	-126.200	462.112	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:19Z	42991.671	drive	1	-6101.694	-10244.567	-5668.300	-10084.200	1440.800	-126.400	462.112	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:21Z	42993.703	drive	1	-6101.694	-10244.567	-5668.300	-10084.200	1440.800	-126.600	462.112	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:23Z	42995.453	drive	1	-6101.694	-10244.567	-5668.100	-10084.000	1440.800	-126.600	462.370	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:25Z	42997.437	drive	1	-6101.694	-10244.567	-5667.800	-10083.500	1440.800	-126.700	462.824	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:27Z	42999.203	drive	1	-6101.694	-10244.567	-5667.100	-10082.601	1440.600	-126.700	463.794	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:28Z	43001.031	drive	1	-6101.694	-10244.567	-5666.600	-10082.000	1440.600	-126.700	464.473	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:37Z	43009.671	drive	1	-6101.694	-10244.567	-5663.100	-10077.200	1440.200	-126.300	469.443	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:39Z	43011.703	drive	1	-6101.694	-10244.567	-5663.200	-10077.300	1440.300	-127.500	469.314	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:41Z	43013.484	drive	1	-6101.694	-10244.567	-5663.500	-10077.601	1440.300	-131.200	468.926	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:43Z	43015.265	drive	1	-6101.694	-10244.567	-5663.500	-10077.500	1440.300	-132.500	468.962	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:44Z	43017.000	drive	1	-6101.694	-10244.567	-5663.200	-10077.000	1440.200	-140.400	469.421	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:46Z	43019.156	drive	1	-6101.694	-10244.567	-5662.700	-10076.200	1440.200	-153.700	470.173	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:48Z	43020.984	drive	1	-6101.694	-10244.567	-5662.300	-10075.900	1440.200	-159.100	470.654	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:50Z	43022.859	drive	1	-6101.694	-10244.567	-5661.900	-10075.500	1440.100	-165.800	471.172	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:52Z	43024.656	drive	1	-6101.694	-10244.567	-5661.900	-10075.500	1440.100	-165.800	471.172	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:54Z	43026.468	drive	1	-6101.694	-10244.567	-5662.300	-10075.700	1440.100	-165.300	470.726	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:56Z	43028.281	drive	1	-6101.694	-10244.567	-5663.100	-10075.900	1440.200	-164.300	469.908	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:57Z	43030.156	drive	1	-6101.694	-10244.567	-5664.200	-10076.300	1440.200	-162.900	468.738	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:16:59Z	43031.984	drive	1	-6101.694	-10244.567	-5665.000	-10076.500	1440.200	-162.000	467.919	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:17:01Z	43033.875	drive	1	-6101.694	-10244.567	-5666.600	-10077.101	1440.300	-160.000	466.210	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:17:03Z	43035.843	drive	1	-6101.694	-10244.567	-5668.200	-10077.800	1440.400	-158.100	464.466	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:17:05Z	43037.625	drive	1	-6101.694	-10244.567	-5669.800	-10078.500	1440.500	-156.600	462.721	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:17:07Z	43039.406	drive	1	-6101.694	-10244.567	-5671.500	-10079.200	1440.600	-155.800	460.883	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:17:08Z	43041.140	drive	1	-6101.694	-10244.567	-5673.200	-10079.900	1440.800	-156.800	459.045	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:17:10Z	43042.906	drive	1	-6101.694	-10244.567	-5674.000	-10080.300	1440.800	-157.400	458.155	1.000	13.200	-5839.300	-10460.600
2026-04-08T04:17:12Z	43044.656	drive	1	-6101.694	-10244.567	-5675.700	-10080.900	1440.900	-157.800	456.353	1.000	13.200	-5839.300	-10460.600
