iso_time_utc	mono_s	mode	event	step_idx	goal_x_cm	goal_y_cm	rover_x_cm	rover_y_cm	goal_dist_cm	status
2026-04-07T05:50:55Z	1777316.679	dumblocate_drive_last_known	loop_tick	0	-17230.000	-36869.961	89.990	1100.000	41733.679	
2026-04-07T05:50:56Z	1777318.418	dumblocate_drive_last_known	loop_tick	1	-17230.000	-36869.961	89.990	1100.000	41733.679	
2026-04-07T05:50:58Z	1777320.189	dumblocate_drive_last_known	loop_tick	2	-17230.000	-36869.961	89.990	1100.000	41733.679	
2026-04-07T05:51:00Z	1777322.009	dumblocate_drive_last_known	loop_tick	3	-17230.000	-36869.961	79.980	1090.039	41720.463	
2026-04-07T05:51:02Z	1777323.779	dumblocate_drive_last_known	loop_tick	4	-17230.000	-36869.961	79.980	1070.020	41702.249	
2026-04-07T05:51:04Z	1777326.216	dumblocate_drive_last_known	loop_tick	5	-17230.000	-36869.961	69.971	1040.039	41670.818	
2026-04-07T05:51:06Z	1777328.188	dumblocate_drive_last_known	loop_tick	6	-17230.000	-36869.961	60.010	1000.000	41630.258	
2026-04-07T05:51:08Z	1777329.936	dumblocate_drive_last_known	loop_tick	7	-17230.000	-36869.961	39.990	960.058	41585.610	
2026-04-07T05:51:10Z	1777331.728	dumblocate_drive_last_known	loop_tick	8	-17230.000	-36869.961	29.980	929.980	41554.091	
2026-04-07T05:51:12Z	1777333.643	dumblocate_drive_last_known	loop_tick	9	-17230.000	-36869.961	0.000	879.980	41496.156	
2026-04-07T05:51:13Z	1777335.412	dumblocate_drive_last_known	loop_tick	10	-17230.000	-36869.961	-50.000	810.058	41411.789	
2026-04-07T05:51:15Z	1777337.145	dumblocate_drive_last_known	loop_tick	11	-17230.000	-36869.961	-100.000	760.058	41345.559	
2026-04-07T05:51:17Z	1777339.251	dumblocate_drive_last_known	loop_tick	12	-17230.000	-36869.961	-100.000	750.000	41336.405	
2026-04-07T05:51:20Z	1777341.496	dumblocate_drive_last_known	loop_tick	13	-17230.000	-36869.961	-100.000	750.000	41336.405	
2026-04-07T05:51:22Z	1777343.602	dumblocate_drive_last_known	loop_tick	14	-17230.000	-36869.961	-100.000	750.000	41336.405	
2026-04-07T05:51:23Z	1777345.343	dumblocate_drive_last_known	loop_tick	15	-17230.000	-36869.961	-100.000	750.000	41336.405	
2026-04-07T05:51:26Z	1777347.798	dumblocate_drive_last_known	loop_tick	16	-17230.000	-36869.961	-80.029	770.020	41362.902	
2026-04-07T05:51:28Z	1777349.739	dumblocate_drive_last_known	loop_tick	17	-17230.000	-36869.961	10.010	879.980	41500.313	
2026-04-07T05:51:30Z	1777351.497	dumblocate_drive_last_known	loop_tick	18	-17230.000	-36869.961	60.010	940.039	41575.721	
2026-04-07T05:51:31Z	1777353.268	dumblocate_drive_last_known	loop_tick	19	-17230.000	-36869.961	169.971	1090.039	41757.880	
2026-04-07T05:52:11Z	1777392.765	dumblocate_drive_last_known	loop_tick	20	-17230.000	-36869.961	489.990	1479.980	42245.900	
2026-04-07T05:52:13Z	1777394.535	dumblocate_drive_last_known	loop_tick	21	-17230.000	-36869.961	489.990	1479.980	42245.900	
2026-04-07T05:52:14Z	1777396.280	dumblocate_drive_last_known	loop_tick	22	-17230.000	-36869.961	469.971	1440.039	42201.245	
2026-04-07T05:52:16Z	1777398.038	dumblocate_drive_last_known	loop_tick	23	-17230.000	-36869.961	479.980	1440.039	42205.444	
2026-04-07T05:52:18Z	1777399.812	dumblocate_drive_last_known	loop_tick	24	-17230.000	-36869.961	500.000	1460.058	42232.017	
2026-04-07T05:52:20Z	1777401.621	dumblocate_drive_last_known	loop_tick	25	-17230.000	-36869.961	539.990	1520.020	42303.229	
2026-04-07T05:52:22Z	1777403.667	dumblocate_drive_last_known	loop_tick	26	-17230.000	-36869.961	550.000	1550.000	42334.641	
2026-04-07T05:52:24Z	1777405.441	dumblocate_drive_last_known	loop_tick	27	-17230.000	-36869.961	550.000	1510.058	42298.396	
2026-04-07T05:52:25Z	1777407.207	dumblocate_drive_last_known	loop_tick	28	-17230.000	-36869.961	550.000	1429.980	42225.749	
2026-04-07T05:52:27Z	1777408.981	dumblocate_drive_last_known	loop_tick	29	-17230.000	-36869.961	539.990	1350.000	42148.997	
2026-04-07T05:52:29Z	1777410.802	dumblocate_drive_last_known	loop_tick	30	-17230.000	-36869.961	529.980	1260.058	42063.230	
2026-04-07T05:52:31Z	1777412.546	dumblocate_drive_last_known	loop_tick	31	-17230.000	-36869.961	519.971	1200.000	42004.564	
2026-04-07T05:52:32Z	1777414.287	dumblocate_drive_last_known	loop_tick	32	-17230.000	-36869.961	500.000	1060.058	41869.312	
2026-04-07T05:52:34Z	1777416.040	dumblocate_drive_last_known	loop_tick	33	-17230.000	-36869.961	479.980	870.020	41688.722	
2026-04-07T05:52:36Z	1777418.204	dumblocate_drive_last_known	loop_tick	34	-17230.000	-36869.961	460.010	690.039	41517.346	
2026-04-07T05:52:38Z	1777420.311	dumblocate_drive_last_known	loop_tick	35	-17230.000	-36869.961	450.000	500.000	41341.219	
2026-04-07T05:52:40Z	1777422.257	dumblocate_drive_last_known	loop_tick	36	-17230.000	-36869.961	429.980	300.000	41151.925	
2026-04-07T05:52:42Z	1777424.149	dumblocate_drive_last_known	loop_tick	37	-17230.000	-36869.961	429.980	100.000	40971.367	
2026-04-07T05:52:44Z	1777425.897	dumblocate_drive_last_known	loop_tick	38	-17230.000	-36869.961	410.010	-89.942	40791.418	
2026-04-07T05:52:46Z	1777427.657	dumblocate_drive_last_known	loop_tick	39	-17230.000	-36869.961	400.000	-179.980	40705.916	
2026-04-07T05:52:48Z	1777429.431	dumblocate_drive_last_known	loop_tick	40	-17230.000	-36869.961	319.971	-370.020	40499.965	
2026-04-07T05:52:49Z	1777431.169	dumblocate_drive_last_known	loop_tick	41	-17230.000	-36869.961	179.980	-520.020	40304.164	
2026-04-07T05:52:51Z	1777432.918	dumblocate_drive_last_known	loop_tick	42	-17230.000	-36869.961	10.010	-600.000	40158.785	
2026-04-07T05:52:53Z	1777434.681	dumblocate_drive_last_known	loop_tick	43	-17230.000	-36869.961	-89.990	-620.020	40097.858	
2026-04-07T05:52:54Z	1777436.416	dumblocate_drive_last_known	loop_tick	44	-17230.000	-36869.961	-289.990	-659.961	39976.594	
2026-04-07T05:52:56Z	1777438.161	dumblocate_drive_last_known	loop_tick	45	-17230.000	-36869.961	-480.029	-709.961	39851.062	
2026-04-07T05:52:58Z	1777439.887	dumblocate_drive_last_known	loop_tick	46	-17230.000	-36869.961	-639.990	-770.020	39729.513	
2026-04-07T05:53:00Z	1777441.651	dumblocate_drive_last_known	loop_tick	47	-17230.000	-36869.961	-680.029	-820.020	39667.364	
2026-04-07T05:53:01Z	1777443.388	dumblocate_drive_last_known	loop_tick	48	-17230.000	-36869.961	-770.020	-920.020	39538.959	
2026-04-07T05:53:03Z	1777445.151	dumblocate_drive_last_known	loop_tick	49	-17230.000	-36869.961	-830.029	-1070.020	39377.593	
2026-04-07T05:53:05Z	1777446.892	dumblocate_drive_last_known	loop_tick	50	-17230.000	-36869.961	-860.010	-1229.980	39219.699	
2026-04-07T05:53:07Z	1777448.853	dumblocate_drive_last_known	loop_tick	51	-17230.000	-36869.961	-870.020	-1389.942	39070.203	
