elapsed_s,step_idx,iso_time,throttle_cmd,steering_cmd,brakes_cmd,lidar_00_cm,lidar_01_cm,lidar_02_cm,lidar_03_cm,lidar_04_cm,lidar_05_cm,lidar_06_cm,lidar_07_cm,lidar_08_cm,lidar_09_cm,lidar_10_cm,lidar_11_cm,lidar_12_cm,lidar_13_cm,lidar_14_cm,lidar_15_cm,lidar_16_cm,telemetry_throttle,telemetry_steering,telemetry_speed
0.047,0,2026-03-15T16:06:42.744,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.094,1,2026-03-15T16:06:42.797,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.156,2,2026-03-15T16:06:42.850,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.203,3,2026-03-15T16:06:42.903,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.250,4,2026-03-15T16:06:42.955,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.312,5,2026-03-15T16:06:43.008,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.359,6,2026-03-15T16:06:43.060,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.422,7,2026-03-15T16:06:43.113,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.469,8,2026-03-15T16:06:43.166,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.515,9,2026-03-15T16:06:43.220,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.578,10,2026-03-15T16:06:43.272,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.625,11,2026-03-15T16:06:43.325,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.687,12,2026-03-15T16:06:43.378,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.734,13,2026-03-15T16:06:43.431,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.781,14,2026-03-15T16:06:43.484,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.844,15,2026-03-15T16:06:43.536,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.890,16,2026-03-15T16:06:43.589,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
0.937,17,2026-03-15T16:06:43.642,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.000,18,2026-03-15T16:06:43.694,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.047,19,2026-03-15T16:06:43.746,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.109,20,2026-03-15T16:06:43.799,0.000,0.000,1,-1.000,519.660,-1.000,569.690,895.470,430.990,442.590,405.490,405.630,642.170,315.290,306.420,654.180,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.156,21,2026-03-15T16:06:43.850,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.203,22,2026-03-15T16:06:43.903,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.265,23,2026-03-15T16:06:43.957,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.312,24,2026-03-15T16:06:44.010,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.359,25,2026-03-15T16:06:44.061,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.422,26,2026-03-15T16:06:44.115,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.469,27,2026-03-15T16:06:44.168,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.515,28,2026-03-15T16:06:44.220,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.578,29,2026-03-15T16:06:44.273,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.625,30,2026-03-15T16:06:44.324,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.672,31,2026-03-15T16:06:44.377,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.734,32,2026-03-15T16:06:44.428,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.781,33,2026-03-15T16:06:44.480,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.828,34,2026-03-15T16:06:44.533,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
1.890,35,2026-03-15T16:06:44.585,0.000,0.000,1,-1.000,519.660,-1.000,569.680,895.460,430.990,442.580,405.480,405.630,642.160,315.290,306.420,654.170,790.790,-1.000,961.120,-1.000,0.000,0.000,0.000
