iso_time_utc	mono_s	phase	rover_x_m	rover_y_m	rover_z_m	dist_to_real_ltv_m	ping_strength	goal_dist_cm
2026-04-07T05:36:57Z	1776479.360	drive	-5669.700	-10079.400	1440.600	786.794	1.000	41722.564
2026-04-07T05:36:59Z	1776481.093	drive	-5669.700	-10079.400	1440.600	786.794	1.000	41722.564
2026-04-07T05:37:01Z	1776482.826	drive	-5669.700	-10079.400	1440.600	786.794	1.000	41722.564
2026-04-07T05:37:03Z	1776484.551	drive	-5669.700	-10079.500	1440.600	786.707	1.000	41713.464
2026-04-07T05:37:04Z	1776486.314	drive	-5669.800	-10079.601	1440.600	786.570	1.000	41700.204
2026-04-07T05:37:06Z	1776488.043	drive	-5669.800	-10079.800	1440.600	786.396	1.000	41682.003
2026-04-07T05:37:08Z	1776489.827	drive	-5669.900	-10080.101	1440.600	786.084	1.000	41650.474
2026-04-07T05:37:10Z	1776491.578	drive	-5670.000	-10080.300	1440.600	785.862	1.000	41628.203
2026-04-07T05:37:11Z	1776493.318	drive	-5670.200	-10080.900	1440.700	785.236	1.000	41565.194
2026-04-07T05:37:13Z	1776495.060	drive	-5670.500	-10081.500	1440.700	784.566	1.000	41498.223
2026-04-07T05:37:15Z	1776496.790	drive	-5671.000	-10082.300	1440.800	783.622	1.000	41404.822
2026-04-07T05:37:17Z	1776498.528	drive	-5671.400	-10082.800	1440.800	782.992	1.000	41342.887
2026-04-07T05:37:18Z	1776500.281	drive	-5671.700	-10082.601	1440.900	783.020	1.000	41348.912
2026-04-07T05:37:20Z	1776502.014	drive	-5671.700	-10082.601	1440.900	783.020	1.000	41348.912
2026-04-07T05:37:22Z	1776503.745	drive	-5671.700	-10082.601	1440.800	783.022	1.000	41348.912
2026-04-07T05:37:24Z	1776505.477	drive	-5671.700	-10082.601	1440.800	783.022	1.000	41348.912
2026-04-07T05:37:25Z	1776507.222	drive	-5671.700	-10082.601	1440.800	783.022	1.000	41348.912
2026-04-07T05:37:27Z	1776508.965	drive	-5671.700	-10082.500	1440.900	783.108	1.000	41358.107
2026-04-07T05:37:29Z	1776510.691	drive	-5671.400	-10081.601	1440.800	784.043	1.000	41452.503
2026-04-07T05:37:30Z	1776512.419	drive	-5671.100	-10081.000	1440.700	784.717	1.000	41519.558
2026-04-07T05:37:32Z	1776514.175	drive	-5670.500	-10079.400	1440.600	786.410	1.000	41690.117
2026-04-07T05:37:51Z	1776532.921	drive	-5668.500	-10074.500	1440.200	791.679	1.000	42219.172
2026-04-07T05:37:53Z	1776534.689	drive	-5668.500	-10074.601	1440.200	791.591	1.000	42209.974
2026-04-07T05:37:54Z	1776536.419	drive	-5668.700	-10074.900	1440.200	791.232	1.000	42174.457
2026-04-07T05:37:56Z	1776538.158	drive	-5668.800	-10074.900	1440.300	791.181	1.000	42170.409
2026-04-07T05:37:58Z	1776539.911	drive	-5668.700	-10074.500	1440.200	791.584	1.000	42211.077
2026-04-07T05:38:00Z	1776541.649	drive	-5668.500	-10074.101	1440.200	792.030	1.000	42255.702
2026-04-07T05:38:01Z	1776543.409	drive	-5668.300	-10073.601	1440.100	792.567	1.000	42309.508
2026-04-07T05:38:03Z	1776545.153	drive	-5668.200	-10073.500	1440.100	792.703	1.000	42322.754
2026-04-07T05:38:05Z	1776546.913	drive	-5668.500	-10073.800	1440.200	792.294	1.000	42283.215
2026-04-07T05:38:07Z	1776548.644	drive	-5668.700	-10074.000	1440.200	792.023	1.000	42256.816
2026-04-07T05:38:08Z	1776550.391	drive	-5669.300	-10074.400	1440.200	791.384	1.000	42195.976
2026-04-07T05:38:10Z	1776552.149	drive	-5670.200	-10075.101	1440.300	790.337	1.000	42095.670
2026-04-07T05:38:12Z	1776553.875	drive	-5671.300	-10075.900	1440.400	789.107	1.000	41978.291
2026-04-07T05:38:14Z	1776555.613	drive	-5671.900	-10076.400	1440.500	788.379	1.000	41908.487
2026-04-07T05:38:15Z	1776557.351	drive	-5673.600	-10077.400	1440.600	786.688	1.000	41749.060
2026-04-07T05:38:17Z	1776559.086	drive	-5675.300	-10078.400	1440.800	784.996	1.000	41589.956
2026-04-07T05:38:19Z	1776560.823	drive	-5677.100	-10079.200	1440.900	783.437	1.000	41445.702
2026-04-07T05:38:21Z	1776562.598	drive	-5678.000	-10079.601	1441.000	782.657	1.000	41373.693
2026-04-07T05:38:22Z	1776564.347	drive	-5679.700	-10080.300	1441.100	781.237	1.000	41243.222
2026-04-07T05:38:24Z	1776566.115	drive	-5681.400	-10081.200	1441.300	779.638	1.000	41094.605
2026-04-07T05:38:26Z	1776567.885	drive	-5683.000	-10082.200	1441.400	778.002	1.000	40940.946
2026-04-07T05:38:28Z	1776569.633	drive	-5683.700	-10082.800	1441.500	777.142	1.000	40858.816
2026-04-07T05:38:29Z	1776571.380	drive	-5684.900	-10084.300	1441.600	775.253	1.000	40674.467
2026-04-07T05:38:31Z	1776573.136	drive	-5685.800	-10085.800	1441.700	773.504	1.000	40501.524
2026-04-07T05:38:33Z	1776574.870	drive	-5686.700	-10087.500	1441.900	771.575	1.000	40310.087
2026-04-07T05:38:35Z	1776576.623	drive	-5687.200	-10088.500	1441.900	770.458	1.000	40198.602
2026-04-07T05:38:36Z	1776578.370	drive	-5688.300	-10090.200	1442.100	768.436	1.000	39999.616
2026-04-07T05:38:38Z	1776580.095	drive	-5689.600	-10092.000	1442.200	766.236	1.000	39783.919
2026-04-07T05:38:40Z	1776581.823	drive	-5691.200	-10093.500	1442.300	764.160	1.000	39584.841
2026-04-07T05:38:42Z	1776583.559	drive	-5692.100	-10094.101	1442.300	763.210	1.000	39495.523
2026-04-07T05:38:43Z	1776585.324	drive	-5693.800	-10095.200	1442.400	761.444	1.000	39330.291
2026-04-07T05:38:45Z	1776587.049	drive	-5694.600	-10095.601	1442.400	760.718	1.000	39263.550
2026-04-07T05:38:47Z	1776588.797	drive	-5694.400	-10095.500	1442.500	760.898	1.000	39280.281
2026-04-07T05:38:49Z	1776590.544	drive	-5694.000	-10095.200	1442.300	761.354	1.000	39322.908
2026-04-07T05:38:50Z	1776592.297	drive	-5693.800	-10095.101	1442.400	761.532	1.000	39339.546
2026-04-07T05:38:52Z	1776594.052	drive	-5693.900	-10095.101	1442.400	761.486	1.000	39335.863
2026-04-07T05:38:54Z	1776595.792	drive	-5694.000	-10095.200	1442.300	761.354	1.000	39322.908
2026-04-07T05:38:56Z	1776597.559	drive	-5694.300	-10095.400	1442.400	761.035	1.000	39293.214
2026-04-07T05:38:57Z	1776599.285	drive	-5694.800	-10095.700	1442.400	760.537	1.000	39246.915
2026-04-07T05:38:59Z	1776601.016	drive	-5694.800	-10095.800	1442.400	760.449	1.000	39237.654
2026-04-07T05:39:01Z	1776602.750	drive	-5694.900	-10095.800	1442.400	760.403	1.000	39233.987
2026-04-07T05:39:03Z	1776604.515	drive	-5694.900	-10095.800	1442.400	760.403	1.000	39233.987
2026-04-07T05:39:04Z	1776606.261	drive	-5694.900	-10095.800	1442.400	760.403	1.000	39233.987
