snapshot_idx	step_idx	elapsed_s	label	point_idx	x_cm	y_cm
0	-1	0.000	initial_follow_path	113	-346.240	523.730
0	-1	0.000	initial_follow_path	114	-352.490	517.480
0	-1	0.000	initial_follow_path	115	-358.740	511.230
0	-1	0.000	initial_follow_path	116	-364.990	504.980
0	-1	0.000	initial_follow_path	117	-371.240	498.730
0	-1	0.000	initial_follow_path	118	-377.490	492.480
0	-1	0.000	initial_follow_path	119	-383.740	486.230
0	-1	0.000	initial_follow_path	120	-389.990	479.980
0	-1	0.000	initial_follow_path	121	-396.240	473.730
0	-1	0.000	initial_follow_path	122	-402.490	467.480
0	-1	0.000	initial_follow_path	123	-408.740	461.230
0	-1	0.000	initial_follow_path	124	-414.990	454.980
0	-1	0.000	initial_follow_path	125	-421.240	448.730
0	-1	0.000	initial_follow_path	126	-427.490	442.480
0	-1	0.000	initial_follow_path	127	-433.740	436.230
0	-1	0.000	initial_follow_path	128	-439.990	429.980
0	-1	0.000	initial_follow_path	129	-446.240	423.730
0	-1	0.000	initial_follow_path	130	-452.490	417.480
0	-1	0.000	initial_follow_path	131	-458.740	411.230
0	-1	0.000	initial_follow_path	132	-464.990	404.980
0	-1	0.000	initial_follow_path	133	-471.240	398.730
0	-1	0.000	initial_follow_path	134	-477.490	392.480
0	-1	0.000	initial_follow_path	135	-483.740	386.230
0	-1	0.000	initial_follow_path	136	-489.990	379.980
0	-1	0.000	initial_follow_path	137	-496.240	373.730
0	-1	0.000	initial_follow_path	138	-502.490	367.480
0	-1	0.000	initial_follow_path	139	-508.740	361.230
0	-1	0.000	initial_follow_path	140	-514.990	354.980
0	-1	0.000	initial_follow_path	141	-521.240	348.730
0	-1	0.000	initial_follow_path	142	-527.490	342.480
0	-1	0.000	initial_follow_path	143	-533.740	336.230
0	-1	0.000	initial_follow_path	144	-539.990	329.980
0	-1	0.000	initial_follow_path	145	-546.240	323.730
0	-1	0.000	initial_follow_path	146	-552.490	317.480
0	-1	0.000	initial_follow_path	147	-558.740	311.230
0	-1	0.000	initial_follow_path	148	-564.990	304.980
0	-1	0.000	initial_follow_path	149	-571.240	298.730
0	-1	0.000	initial_follow_path	150	-577.490	292.480
0	-1	0.000	initial_follow_path	151	-583.740	286.230
0	-1	0.000	initial_follow_path	152	-589.990	279.980
0	-1	0.000	initial_follow_path	153	-596.240	273.730
0	-1	0.000	initial_follow_path	154	-602.490	267.480
0	-1	0.000	initial_follow_path	155	-608.740	261.230
0	-1	0.000	initial_follow_path	156	-614.990	254.980
0	-1	0.000	initial_follow_path	157	-621.240	248.730
0	-1	0.000	initial_follow_path	158	-627.490	242.480
0	-1	0.000	initial_follow_path	159	-633.740	236.230
0	-1	0.000	initial_follow_path	160	-639.990	229.980
0	-1	0.000	initial_follow_path	161	-646.240	223.730
0	-1	0.000	initial_follow_path	162	-652.490	217.480
0	-1	0.000	initial_follow_path	163	-658.740	211.230
0	-1	0.000	initial_follow_path	164	-664.990	204.980
0	-1	0.000	initial_follow_path	165	-671.240	198.730
0	-1	0.000	initial_follow_path	166	-677.490	192.480
0	-1	0.000	initial_follow_path	167	-683.740	186.230
0	-1	0.000	initial_follow_path	168	-689.990	179.980
0	-1	0.000	initial_follow_path	169	-696.240	173.730
0	-1	0.000	initial_follow_path	170	-702.490	167.480
0	-1	0.000	initial_follow_path	171	-708.740	161.230
0	-1	0.000	initial_follow_path	172	-714.990	154.980
0	-1	0.000	initial_follow_path	173	-721.240	148.730
0	-1	0.000	initial_follow_path	174	-727.490	142.480
0	-1	0.000	initial_follow_path	175	-733.740	136.230
0	-1	0.000	initial_follow_path	176	-739.990	129.980
0	-1	0.000	initial_follow_path	177	-746.240	123.730
0	-1	0.000	initial_follow_path	178	-752.490	117.480
0	-1	0.000	initial_follow_path	179	-758.740	111.230
0	-1	0.000	initial_follow_path	180	-764.990	104.980
0	-1	0.000	initial_follow_path	181	-771.240	98.730
0	-1	0.000	initial_follow_path	182	-777.490	92.480
0	-1	0.000	initial_follow_path	183	-783.740	86.230
0	-1	0.000	initial_follow_path	184	-789.990	79.980
0	-1	0.000	initial_follow_path	185	-796.240	73.730
0	-1	0.000	initial_follow_path	186	-802.490	67.480
0	-1	0.000	initial_follow_path	187	-808.740	61.230
0	-1	0.000	initial_follow_path	188	-814.990	54.980
0	-1	0.000	initial_follow_path	189	-821.240	48.730
0	-1	0.000	initial_follow_path	190	-827.490	42.480
0	-1	0.000	initial_follow_path	191	-833.740	36.230
0	-1	0.000	initial_follow_path	192	-839.990	29.980
0	-1	0.000	initial_follow_path	193	-846.240	23.730
0	-1	0.000	initial_follow_path	194	-852.490	17.480
0	-1	0.000	initial_follow_path	195	-858.740	11.230
0	-1	0.000	initial_follow_path	196	-864.990	4.980
0	-1	0.000	initial_follow_path	197	-871.240	-1.270
0	-1	0.000	initial_follow_path	198	-877.490	-7.520
0	-1	0.000	initial_follow_path	199	-883.740	-13.770
0	-1	0.000	initial_follow_path	200	-889.990	-20.020
0	-1	0.000	initial_follow_path	201	-896.240	-26.270
0	-1	0.000	initial_follow_path	202	-902.490	-32.520
0	-1	0.000	initial_follow_path	203	-908.740	-38.770
0	-1	0.000	initial_follow_path	204	-914.990	-45.020
0	-1	0.000	initial_follow_path	205	-921.240	-51.270
0	-1	0.000	initial_follow_path	206	-927.490	-57.520
0	-1	0.000	initial_follow_path	207	-933.740	-63.770
0	-1	0.000	initial_follow_path	208	-939.990	-70.020
0	-1	0.000	initial_follow_path	209	-946.240	-76.270
0	-1	0.000	initial_follow_path	210	-952.490	-82.520
0	-1	0.000	initial_follow_path	211	-958.740	-88.770
0	-1	0.000	initial_follow_path	212	-964.990	-95.020
0	-1	0.000	initial_follow_path	213	-971.240	-101.270
0	-1	0.000	initial_follow_path	214	-977.490	-107.520
0	-1	0.000	initial_follow_path	215	-983.740	-113.770
0	-1	0.000	initial_follow_path	216	-989.990	-120.020
0	-1	0.000	initial_follow_path	217	-996.240	-126.270
0	-1	0.000	initial_follow_path	218	-1002.490	-132.520
0	-1	0.000	initial_follow_path	219	-1008.740	-138.770
0	-1	0.000	initial_follow_path	220	-1014.990	-145.020
0	-1	0.000	initial_follow_path	221	-1021.240	-151.270
0	-1	0.000	initial_follow_path	222	-1027.490	-157.520
0	-1	0.000	initial_follow_path	223	-1033.740	-163.770
