step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
0	0.000	Running	0	0	0	0	0	0	649	649	-5663.900	-10080.101	1440.400	180.000	310.010	1179.980	39.996	-90.000	0.000	0.000	0.000	0.000	0.000	1	17.600	0.000	0.000	0.000	-3689.990	-2820.020	5656.854	6.456	876.427	104	104	97	97	57	429.289	429.289	-45.000	18.000	-1.000	0	0	0
1	0.257	Running	0	0	0	0	0	0	649	649	-5663.900	-10080.101	1440.400	180.000	310.010	1179.980	39.996	-90.000	0.000	0.000	18.000	1.000	0.000	0	17.600	0.000	0.000	0.257	-3689.990	-2820.020	5656.854	6.456	876.427	104	104	97	97	57	429.289	429.289	-45.000	18.000	-1.000	0	0	0
2	0.495	Running	0	0	0	0	0	0	649	649	-5663.900	-10080.101	1440.400	180.000	310.010	1179.980	39.996	-90.000	0.000	0.000	18.000	1.000	0.000	0	17.600	0.000	0.000	0.495	-3689.990	-2820.020	5656.854	6.456	876.427	104	104	97	97	57	429.289	429.289	-45.000	18.000	-1.000	0	0	0
3	0.762	Running	0	0	0	0	0	0	649	649	-5663.900	-10080.101	1440.400	180.000	310.010	1179.980	39.996	-90.000	0.000	0.000	18.000	1.000	0.000	0	17.600	0.000	0.000	0.762	-3689.990	-2820.020	5656.854	6.456	876.427	104	104	97	97	57	429.289	429.289	-45.000	18.000	-1.000	0	0	0
4	1.026	Running	0	0	0	0	0	0	649	649	-5663.900	-10080.101	1440.400	180.000	310.010	1179.980	39.996	-90.000	0.000	0.000	18.000	1.000	0.000	0	17.600	0.000	0.000	1.026	-3689.990	-2820.020	5656.854	6.456	876.427	104	104	97	97	57	429.289	429.289	-45.000	18.000	-1.000	0	0	0
5	1.257	Running	0	0	0	0	0	0	649	649	-5663.900	-10080.101	1440.400	180.000	310.010	1179.980	39.996	-90.000	0.000	0.000	18.000	1.000	0.000	0	17.600	0.000	0.000	1.257	-3689.990	-2820.020	5656.854	6.456	876.427	104	104	97	97	57	429.289	429.289	-45.000	18.000	-1.000	0	0	0
6	1.499	Running	0	0	0	0	0	0	649	649	-5663.900	-10080.101	1440.400	180.000	310.010	1179.980	39.996	-90.000	0.000	0.000	18.000	1.000	0.000	0	17.600	0.000	0.000	1.499	-3689.990	-2820.020	5656.854	6.456	876.427	104	104	97	97	57	429.289	429.289	-45.000	18.000	-1.000	0	0	0
7	1.738	Running	0	0	1	0	0	0	649	642	-5663.900	-10080.200	1440.400	180.200	310.010	1170.020	39.996	-90.200	0.100	9.961	18.000	1.000	0.300	0	17.700	0.100	9.961	0.000	-3689.990	-2820.020	5649.815	-43.544	826.427	104	103	96	96	58	493.007	437.254	-48.368	18.000	-1.000	0	0	0
8	1.980	Running	0	0	1	0	0	0	649	642	-5663.900	-10080.200	1440.400	180.200	310.010	1170.020	39.996	-90.200	0.000	0.000	18.000	1.000	0.300	0	17.700	0.000	0.000	0.000	-3689.990	-2820.020	5649.815	-43.544	826.427	104	103	96	96	58	493.007	443.449	-48.368	18.000	-1.000	0	0	0
9	2.344	Running	0	0	1	0	0	0	649	642	-5663.900	-10080.200	1440.400	180.200	310.010	1170.020	39.996	-90.200	0.000	0.000	18.000	1.000	0.300	0	17.700	0.000	0.000	0.000	-3689.990	-2820.020	5649.815	-43.544	826.427	104	103	96	96	58	493.007	448.405	-48.368	18.000	-1.000	0	0	0
